3	,	0.74,	0.12
4	,	0.9 ,	0.12
5	,	1.16,	0.12
6	,	1.46,	0.12
7	,	2.16,	0.12
8	,	2.28,	0.12
9	,	2.82,	0.12
10,		3.16,	0.12
11,		3.76,	0.12
12,		3.98,	0.12

